,ï»¿Atp1,ccmFC,ccmFN,cox1,rps3
G04_Ae.columnaris,C03_Ae.cylindrica,H02_Ae.uniaristata,G09_Ae.tauschii,B04_Ae.comosa,B
A12_Ae.columnaris,H07_Ae.vavilovii,A10_Ae.tauschii,C01_Ae.longissima,D04_Ae.biuncialis,B
G07_Ae.geniculata,D10_T.urartu,G11_T.boeoticum,B09_Ae.cylindrica,C05_Ae.peregrina,B
H03_Ae.speltoides,E07_Ae.juvenalis,B06_Ae.kotschyi,C11_T.boeoticum,G01_T.turgidum,B
C01_Ae.umbellulata,A02_Ae.tauschii,H04_Ae.uniaristata,G04_Ae.columnaris,F03_Ae.umbellulata,B
C02_Ae.markgrafii,A04_Ae.neglecta,E01_Ae.speltoides,C03_Ae.cylindrica,D06_Ae.markgrafii,B
C08_Ae.columnaris,E10_Ae.ventricosa,E02_Ae.sharonensis,G08_Ae.neglecta,A04_Ae.neglecta,B
D02_Ae.bicornis,A05_Ae.neglecta,G12_Ae.longissima,F06_Ae.ventricosa,A06_Ae.uniaristata,B
E06_Ae.markgrafii,F10_Ae.ventricosa,H03_Ae.speltoides,F01_Ae.speltoides,C11_T.boeoticum,B
C03_Ae.cylindrica,F08_Ae.peregrina,D05_Ae.kotschyi,A10_Ae.tauschii,E07_Ae.juvenalis,B
E11_T.boeoticum,B05_Ae.biuncialis,C06_Ae.neglecta,E10_Ae.ventricosa,E08_Ae.mutica,B
H02_Ae.uniaristata,C10_T.urartu,F11_T.urartu,E02_Ae.sharonensis,D05_Ae.kotschyi,B
G12_Ae.longissima,A08_Ae.geniculata,C01_Ae.umbellulata,E03_Ae.juvenalis,E12_T.dicoccoides,B
F08_Ae.peregrina,F01_Ae.speltoides,C10_T.urartu,E06_Ae.markgrafii,C03_Ae.cylindrica,B
H01_Ae.juvenalis,H03_Ae.speltoides,A04_Ae.neglecta,H04_Ae.uniaristata,F11_T.urartu,B
A01_Ae.mutica,F06_Ae.ventricosa,G04_Ae.columnaris,B07_Ae.geniculata,E09_Ae.triuncialis,B
C10_T.urartu,B04_Ae.comosa,F03_Ae.umbellulata,A05_Ae.neglecta,E06_Ae.markgrafii,B
F04_Ae.markgrafii,C11_T.boeoticum,D09_Ae.columnaris,D04_Ae.biuncialis,D12_Ae.kotschyi,B
A05_Ae.neglecta,A03_Ae.crassa,C03_Ae.cylindrica,A07_Ae.ventricosa,E03_Ae.juvenalis,B
G08_Ae.neglecta,B06_Ae.kotschyi,G02_Ae.mutica,G06_Ae.triuncialis,C02_Ae.markgrafii,B
E05_Ae.vavilovii,G06_Ae.triuncialis,B03_Ae.umbellulata,H12_Ae.searsii,F06_Ae.ventricosa,B
A08_Ae.geniculata,B11_T.araraticum,E05_Ae.vavilovii,E05_Ae.vavilovii,H08_Ae.crassa,B
G09_Ae.tauschii,D06_Ae.markgrafii,B12_Ae.peregrina,H07_Ae.vavilovii,D10_T.urartu,B
A11_T.araraticum,G11_T.boeoticum,F08_Ae.peregrina,D09_Ae.columnaris,F08_Ae.peregrina,B
A03_Ae.crassa,F02_Ae.sharonensis,E08_Ae.mutica,F04_Ae.markgrafii,F10_Ae.ventricosa,B
H06_Ae.juvenalis,B10_Ae.tauschii,C12_Ae.bicornis,A04_Ae.neglecta,A10_Ae.tauschii,B
C09_Ae.cylindrica,E12_T.dicoccoides,F04_Ae.markgrafii,A11_T.araraticum,C10_T.urartu,B
F05_Ae.triuncialis,D12_Ae.kotschyi,A11_T.araraticum,C08_Ae.columnaris,E01_Ae.speltoides,B
G06_Ae.triuncialis,G05_Ae.triuncialis,A08_Ae.geniculata,B11_T.araraticum,E05_Ae.vavilovii,B
E09_Ae.triuncialis,A09_Ae.crassa,D08_Ae.vavilovii,H02_Ae.uniaristata,H04_Ae.uniaristata,B
E12_T.dicoccoides,E04_Ae.kotschyi,B04_Ae.comosa,D12_Ae.kotschyi,A11_T.araraticum,B
C06_Ae.neglecta,F05_Ae.triuncialis,D02_Ae.bicornis,D05_Ae.kotschyi,E04_Ae.kotschyi,B
H09_T.urartu,H09_T.urartu,A03_Ae.crassa,E07_Ae.juvenalis,A07_Ae.ventricosa,B
C04_Ae.searsii,F09_Ae.cylindrica,E09_Ae.triuncialis,B04_Ae.comosa,C01_Ae.umbellulata,B
D07_Ae.comosa,F03_Ae.umbellulata,H09_T.urartu,E11_T.boeoticum,G03_Ae.triuncialis,B
G02_Ae.mutica,G07_Ae.geniculata,A02_Ae.tauschii,F11_T.urartu,B02_Ae.mutica,B
D03_Ae.geniculata,A12_Ae.columnaris,F02_Ae.sharonensis,H09_T.urartu,H10_T.araraticum,B
D04_Ae.biuncialis,B03_Ae.umbellulata,G09_Ae.tauschii,A02_Ae.tauschii,G09_Ae.tauschii,B
H08_Ae.crassa,C05_Ae.peregrina,F05_Ae.triuncialis,D08_Ae.vavilovii,C04_Ae.searsii,B
E04_Ae.kotschyi,C08_Ae.columnaris,G07_Ae.geniculata,C06_Ae.neglecta,D08_Ae.vavilovii,B
B09_Ae.cylindrica,C04_Ae.searsii,B10_Ae.tauschii,C04_Ae.searsii,B07_Ae.geniculata,B
B02_Ae.mutica,E05_Ae.vavilovii,E07_Ae.juvenalis,H03_Ae.speltoides,G02_Ae.mutica,B
D11_T.boeoticum,H08_Ae.crassa,H12_Ae.searsii,E12_T.dicoccoides,H05_Ae.triuncialis,B
E10_Ae.ventricosa,D05_Ae.kotschyi,H06_Ae.juvenalis,F01_T.monococcum,G07_Ae.geniculata,B
E03_Ae.juvenalis,E03_Ae.juvenalis,H01_Ae.juvenalis,F03_Ae.umbellulata,H07_Ae.vavilovii,B
F01_Ae.speltoides,G09_Ae.tauschii,A07_Ae.ventricosa,C12_Ae.bicornis,A05_Ae.neglecta,B
C05_Ae.peregrina,A06_Ae.uniaristata,C08_Ae.columnaris,G12_Ae.longissima,H01_Ae.juvenalis,B
B07_Ae.geniculata,H02_Ae.uniaristata,D07_Ae.comosa,H05_Ae.triuncialis,G11_T.boeoticum,B
F06_Ae.ventricosa,F11_T.urartu,B02_Ae.mutica,E01_Ae.speltoides,D09_Ae.columnaris,B
B12_Ae.peregrina,H06_Ae.juvenalis,F01_Ae.speltoides,A12_Ae.columnaris,D07_Ae.comosa,B
E01_Ae.speltoides,C06_Ae.neglecta,B11_T.araraticum,B02_Ae.mutica,E10_Ae.ventricosa,B
F02_Ae.sharonensis,D02_Ae.bicornis,G05_Ae.triuncialis,D02_Ae.bicornis,A02_Ae.tauschii,B
F11_T.urartu,G04_Ae.columnaris,H10_T.araraticum,C05_Ae.peregrina,B05_Ae.biuncialis,B
D05_Ae.kotschyi,E06_Ae.markgrafii,B07_Ae.geniculata,B05_Ae.biuncialis,E11_T.boeoticum,B
F01_T.monococcum,A07_Ae.ventricosa,A06_Ae.uniaristata,H11_Ae.crassa,F07_Ae.longissima,B
B05_Ae.biuncialis,C02_Ae.markgrafii,G03_Ae.triuncialis,C09_Ae.cylindrica,A03_Ae.crassa,B
D09_Ae.columnaris,H04_Ae.uniaristata,F06_Ae.ventricosa,G02_Ae.mutica,F01_Ae.speltoides,B
A10_Ae.tauschii,E09_Ae.triuncialis,G06_Ae.triuncialis,F05_Ae.triuncialis,F05_Ae.triuncialis,B
D08_Ae.vavilovii,E11_T.boeoticum,H05_Ae.triuncialis,D06_Ae.markgrafii,B10_Ae.tauschii,B
A02_Ae.tauschii,D11_T.boeoticum,D04_Ae.biuncialis,C10_T.urartu,H09_T.urartu,B
H04_Ae.uniaristata,G03_Ae.triuncialis,C04_Ae.searsii,G03_Ae.triuncialis,F01_T.monococcum,B
D12_Ae.kotschyi,F01_T.monococcum,A05_Ae.neglecta,F08_Ae.peregrina,H02_Ae.uniaristata,B
H10_T.araraticum,F07_Ae.longissima,B05_Ae.biuncialis,B03_Ae.umbellulata,F02_Ae.sharonensis,B
B10_Ae.tauschii,A01_Ae.mutica,D06_Ae.markgrafii,G07_Ae.geniculata,H12_Ae.searsii,B
E08_Ae.mutica,H12_Ae.searsii,C02_Ae.markgrafii,F10_Ae.ventricosa,C09_Ae.cylindrica,B
B06_Ae.kotschyi,D08_Ae.vavilovii,E03_Ae.juvenalis,C07_Ae.comosa,C06_Ae.neglecta,B
C11_T.boeoticum,E08_Ae.mutica,D11_T.boeoticum,H10_T.araraticum,G05_Ae.triuncialis,B
G11_T.boeoticum,D04_Ae.biuncialis,E12_T.dicoccoides,B10_Ae.tauschii,B06_Ae.kotschyi,B
H05_Ae.triuncialis,B02_Ae.mutica,D12_Ae.kotschyi,E04_Ae.kotschyi,D02_Ae.bicornis,B
F10_Ae.ventricosa,G08_Ae.neglecta,F09_Ae.cylindrica,G11_T.boeoticum,G06_Ae.triuncialis,B
A06_Ae.uniaristata,C01_Ae.longissima,A12_Ae.columnaris,D11_T.boeoticum,B11_T.araraticum,B
A04_Ae.neglecta,H05_Ae.triuncialis,C05_Ae.peregrina,E08_Ae.mutica,H03_Ae.speltoides,B
C12_Ae.bicornis,A10_Ae.tauschii,F01_T.monococcum,A03_Ae.crassa,C08_Ae.columnaris,B
A07_Ae.ventricosa,G12_Ae.longissima,F07_Ae.longissima,A08_Ae.geniculata,E02_Ae.sharonensis,B
F09_Ae.cylindrica,H10_T.araraticum,E04_Ae.kotschyi,B06_Ae.kotschyi,G04_Ae.columnaris,B
B04_Ae.comosa,H01_Ae.juvenalis,H07_Ae.vavilovii,A06_Ae.uniaristata,G12_Ae.longissima,B
G03_Ae.triuncialis,B07_Ae.geniculata,F10_Ae.ventricosa,C02_Ae.markgrafii,H06_Ae.juvenalis,B
G01_T.turgidum,E02_Ae.sharonensis,A09_Ae.crassa,F09_Ae.cylindrica,G08_Ae.neglecta,B
A09_Ae.crassa,G02_Ae.mutica,G08_Ae.neglecta,H01_Ae.juvenalis,,B
D06_Ae.markgrafii,A11_T.araraticum,E11_T.boeoticum,H06_Ae.juvenalis,,B
H11_Ae.crassa,,,D10_T.urartu,,B
G05_Ae.triuncialis,,,A09_Ae.crassa,,B
E07_Ae.juvenalis,,,F07_Ae.longissima,,B
B03_Ae.umbellulata,,,F02_Ae.sharonensis,,B
F07_Ae.longissima,,,G05_Ae.triuncialis,,B
E02_Ae.sharonensis,,,,,B
B11_T.araraticum,,,,,B
H07_Ae.vavilovii,,,,,B
F03_Ae.umbellulata,,,,,B
H12_Ae.searsii,,,,,B
C01_Ae.longissima,,,,,B
